fps,frametime,elapsed
51.1071,19.5668,603853922065
54.8881,18.2189,603954013836
47.743,20.9455,604054123731
52.1547,19.1737,604154226542
54.5442,18.3338,604254324124
53.0589,18.847,604354421886
49.1776,20.3345,604454533153
49.3413,20.267,604554730782
52.2395,19.1426,604654833994
58.287,17.1565,604755001257
47.516,21.0456,604855109759
44.1752,22.6371,604955217860
46.2472,21.6229,605055328356
47.1278,21.2189,605155431889
47.6693,20.9779,605255537054
53.0683,18.8437,605355646057
58.8744,16.9853,605455778364
52.9993,18.8682,605555897656
48.7754,20.5021,605656010837
51.0709,19.5806,605756117706
54.078,18.4918,605856226569
56.054,17.84,605956332266
48.7608,20.5083,606056448032
51.9802,19.2381,606156555191
48.1013,20.7895,606256668041
48.0441,20.8142,606356767577
49.6054,20.1591,606456861591
51.3602,19.4703,606556959253
55.3666,18.0614,606657063798
56.4046,17.7291,606757158083
50.6469,19.7445,606857248000
49.0449,20.3895,606957346624
49.2886,20.2886,607057448243
52.0765,19.2025,607157553649
48.9271,20.4386,607257737543
55.6814,17.9593,607359343183
50.1401,19.9441,607459448279
57.3148,17.4475,607559543947
49.9071,20.0372,607659637932
53.7132,18.6174,607759731235
52.9384,18.8899,607859831502
54.0426,18.5039,607959931338
57.3347,17.4414,608060040070
46.6476,21.4373,608160145847
51.9137,19.2627,608260257475
53.2522,18.7786,608360355748
53.5579,18.6714,608460458229
54.3063,18.4141,608560552394
54.4769,18.3564,608660648242
55.0586,18.1625,608760762956
56.4258,17.7224,608860870035
52.783,18.9455,608960970362
51.9433,19.2518,609061065339
46.1711,21.6585,609161263870
53.6864,18.6267,609261360379
49.887,20.0453,609361455486
53.0595,18.8468,609461583315
49.2705,20.2961,609561703348
52.2407,19.1422,609661823532
54.1838,18.4557,609761924410
53.1315,18.8212,609862032010
55.4794,18.0247,609962130203
50.4936,19.8045,610062228155
49.3923,20.2461,610162326088
46.5338,21.4897,610262418800
46.6702,21.427,610362515129
51.1197,19.5619,610462611499
50.7844,19.6911,610562707177
53.1312,18.8213,610662811351
51.3792,19.4631,610762908632
54.3728,18.3916,610863022193
56.2749,17.7699,610963121508
46.9131,21.316,611063243475
47.5004,21.0525,611163350545
49.4834,20.2088,611263456432
51.582,19.3866,611363560776
49.2142,20.3194,611463680840
47.7326,20.95,611563791496
51.1135,19.5643,611663888827
52.7003,18.9752,611764024360
54.3567,18.397,611864152880
57.2137,17.4783,611964267934
47.3217,21.1319,612064370004
54.7838,18.2536,612164475210
51.8539,19.285,612264587178
53.1033,18.8312,612364710478
52.4684,19.0591,612465256291
43.8453,22.8075,612565362178
54.3445,18.4011,612665471201
56.4229,17.7233,612765597897
53.6317,18.6457,612865695178
50.7707,19.6964,612965786087
56.1215,17.8185,613065889179
54.16,18.4638,613166011677
51.0977,19.5704,613266151448
47.9895,20.8379,613366266553
52.9588,18.8826,613466494589
52.9189,18.8968,613566603973
52.0455,19.214,613666716452
50.9295,19.635,613766833731
52.4105,19.0801,613866948885
53.2442,18.7814,613967063258
50.3604,19.8569,614067179685
62.8082,15.9215,614167320388
55.7957,17.9225,614267533115
49.6861,20.1263,614367633692
56.5515,17.683,614467908627
54.1418,18.47,614568021988
45.883,21.7946,614668126903
47.8372,20.9042,614768406947
51.4649,19.4307,614868531439
52.4912,19.0508,614968672472
56.2773,17.7692,615068797054
60.3435,16.5718,615168912990
51.1897,19.5352,615269022745
52.6177,19.005,615369136607
51.2902,19.4969,615469570379
51.5387,19.4029,615569673672
61.5776,16.2397,615669781102
55.2029,18.115,615769897869
51.4035,19.4539,615870008966
59.8444,16.71,615970127447
51.2967,19.4944,616070235779
52.9042,18.9021,616170337708
47.7464,20.944,616270465186
47.086,21.2378,616370583036
51.2339,19.5183,616470693842
52.5776,19.0195,616570805270
48.7493,20.5131,616670925193
50.409,19.8377,616771040839
49.4061,20.2404,616871151925
49.7299,20.1086,616971254977
49.8631,20.0549,617071360213
54.3606,18.3957,617171452795
57.2733,17.4601,617271582978
57.9154,17.2666,617371682123
52.718,18.9689,617471800433
54.7326,18.2706,617571922010
53.8075,18.5848,617672045961
50.6203,19.7549,617772186743
47.7875,20.926,617872309813
56.9627,17.5553,617972405351
40.7463,24.5421,618072497873
49.2882,20.2888,618172594472
49.6769,20.1301,618272693747
50.3997,19.8414,618372788544
50.501,19.8016,618472877359
52.0016,19.2302,618572973768
52.2851,19.1259,618673068604
52.9359,18.8908,618773165054
51.2155,19.5253,618873266503
56.8115,17.6021,618973373282
54.9465,18.1995,619073472576
53.507,18.6892,619173576119
54.6622,18.2942,619273680764
49.1436,20.3485,619374110138
48.9119,20.4449,619474207169
51.6494,19.3613,619574417221
49.334,20.27,619674512639
53.3019,18.7611,619774604990
59.3712,16.8432,619874711609
54.5985,18.3155,619974811355
62.573,15.9813,620074908455
47.9582,20.8515,620175003282
54.9786,18.1889,620275095062
57.9199,17.2652,620375190971
53.7009,18.6217,620475296597
56.76,17.618,620575399389
50.745,19.7064,620675504535
55.7377,17.9412,620775600834
52.5981,19.0121,620875709927
54.9189,18.2087,620975821775
51.3829,19.4617,621075912975
52.2225,19.1488,621176009915
52.3911,19.0872,621276113017
55.7077,17.9509,621376209867
52.8453,18.9232,621476301378
53.8278,18.5778,621576401033
53.0114,18.8639,621676524994
57.0142,17.5395,621776620432
52.0302,19.2196,621876720979
45.5672,21.9456,621976882781
51.1825,19.5379,622076987646
50.4594,19.8179,622177238656
50.1932,19.923,622277381372
45.9852,21.7461,622377479885
49.1074,20.3635,622477575413
50.9383,19.6316,622577673275
59.3544,16.848,622677767420
57.5289,17.3826,622777869801
52.5348,19.035,622877973023
50.1986,19.9209,622978069302
50.6305,19.751,623078172785
53.7292,18.6119,623178269895
55.9845,17.8621,623278361135
50.7186,19.7166,623378456222
50.3385,19.8655,623478551239
45.6083,21.9258,623578653189
51.4998,19.4176,623678753064
47.4823,21.0605,623778855215
51.6936,19.3448,623878961222
58.1089,17.2091,623979059705
50.0849,19.9661,624079165502
50.3017,19.8801,624179276369
52.257,19.1362,624279376024
49.7839,20.0868,624379495717
45.639,21.9111,624479588891
48.254,20.7237,624579886457
49.0586,20.3838,624679994709
53.6136,18.652,624780108611
61.6066,16.232,624880212124
59.2474,16.8784,624980388774
56.339,17.7497,625080519888
54.4052,18.3806,625180621437
42.9791,23.2671,625280726633
53.5653,18.6688,625380833242
48.5511,20.5969,625481116461
57.2813,17.4577,625581221918
50.2085,19.917,625681393779
53.8423,18.5727,625781529602
48.0853,20.7964,625881665996
46.4704,21.5191,625981776031
50.7773,19.6939,626081882259
53.604,18.6553,626182003024
52.4637,19.0608,626282125432
54.1094,18.4811,626382233934
52.1467,19.1767,626482343208
52.7111,18.9713,626582447252
53.1869,18.8016,626682552938
49.1434,20.3486,626782663865
50.0377,19.9849,626882773379
40.2242,24.8607,626982876822
49.6411,20.1446,627082975395
52.1275,19.1837,627183073037
52.4602,19.0621,627283192710
53.1177,18.8261,627383306983
55.8127,17.9171,627483415986
48.6393,20.5595,627583514880
52.6677,18.987,627683719202
52.7146,18.9701,627784344914
47.8043,20.9186,627884464737
49.9152,20.034,627984578299
50.7616,19.6999,628084690798
48.7862,20.4976,628184823746
52.063,19.2075,628284948970
49.7155,20.1145,628385062671
52.2284,19.1467,628485172205
56.4759,17.7067,628585286118
45.7195,21.8725,628685400741
53.8575,18.5675,628785504985
47.802,20.9196,628885607887
52.6807,18.9823,628985721368
48.6532,20.5536,629085786930
55.4415,18.037,629185879943
53.2911,18.7649,629286021637
47.2461,21.1658,629386127033
50.8269,19.6746,629486235766
51.584,19.3859,629586349157
51.4297,19.444,629686467648
50.1092,19.9564,629786571161
49.8751,20.0501,629886676887
46.212,21.6394,629986779919
60.3541,16.5689,630086949316
48.6541,20.5533,630187051376
50.4221,19.8326,630287158545
57.6932,17.3331,630387267438
61.196,16.3409,630487377042
51.1589,19.5469,630587492046
50.2014,19.9198,630687588586
57.6357,17.3504,630787701126
60.4083,16.554,630887823874
55.606,17.9837,630987938268
47.7473,20.9436,631088157628
50.9273,19.6358,631188278914
54.812,18.2442,631288442018
47.986,20.8394,631388543497
51.6486,19.3616,631488640207
49.209,20.3215,631588749020
49.2468,20.3059,631688845750
53.127,18.8228,631788949623
59.0083,16.9468,631889188590
52.8221,18.9315,631989300789
43.5084,22.9841,632089394413
54.7564,18.2627,632189488849
51.0823,19.5763,632289588444
53.2206,18.7897,632389872085
52.4792,19.0552,632489986007
45.8558,21.8075,632590099478
48.4241,20.6509,632690204554
51.1614,19.546,632790495949
49.2397,20.3088,632890594152
50.0159,19.9936,632990690291
52.2049,19.1553,633090785959
50.7769,19.694,633190847713
54.5931,18.3173,633290943902
55.4617,18.0305,633391048246
51.4374,19.4411,633491151308
54.5901,18.3183,633591263046
49.1538,20.3443,633691527391
54.8752,18.2232,633791644699
57.2735,17.4601,633891738924
52.1554,19.1735,633992098948
58.2808,17.1583,634092213031
50.9577,19.6241,634192391053
49.854,20.0586,634292489446
47.2062,21.1837,634392585205
49.9505,20.0198,634492857414
49.1077,20.3634,634592960997
50.3826,19.8481,634693059550
51.32,19.4856,634793150870
49.9993,20.0003,634893247349
49.6154,20.155,634993345141
42.8581,23.3328,635093449987
46.7542,21.3885,635193545895
49.8186,20.0728,635293647795
56.4251,17.7226,635393759643
50.7083,19.7206,635493833500
57.2555,17.4656,635593931482
51.9115,19.2636,635694031138
55.5197,18.0116,635794124722
59.8928,16.6965,635894224187
53.7974,18.5883,635994324303
59.2772,16.8699,636094421785
56.7086,17.634,636194521871
50.9663,19.6208,636294616748
51.092,19.5725,636394713217
49.2874,20.2892,636494809005
53.9483,18.5363,636594916746
51.6468,19.3623,636695016101
44.2109,22.6188,636795119343
51.0095,19.6042,636895206445
48.1901,20.7511,636995299648
49.7038,20.1192,637095397961
50.0481,19.9808,637195501935
49.9388,20.0245,637295591622
50.7396,19.7085,637395685456
48.485,20.6249,637495803075
50.6664,19.737,637596028186
52.4017,19.0833,637696153159
53.6239,18.6484,637796260118
51.4339,19.4424,637896421219
47.888,20.882,637996517588
43.7278,22.8688,638096617785
51.0318,19.5956,638196710437
51.4546,19.4346,638296848855
50.6947,19.7259,638397019935
51.8897,19.2717,638497150879
53.4154,18.7212,638597466740
52.848,18.9222,638697583027
51.0462,19.5901,638797722046
56.4551,17.7132,638897816442
54.9743,18.1903,638997964077
51.8687,19.2794,639098138202
48.3326,20.69,639198262915
45.8519,21.8094,639298381065
51.077,19.5783,639398478717
51.7702,19.3161,639498614841
53.7141,18.6171,639598741757
50.3426,19.8639,639698818930
42.6147,23.4661,639798966326
47.9195,20.8683,639899082201
56.1194,17.8192,639999219848
49.8515,20.0596,640099335854
53.8026,18.5865,640199452281
57.2668,17.4621,640299738336
47.9483,20.8558,640399812925
50.9441,19.6294,640499933099
52.3999,19.084,640600044316
53.0494,18.8504,640700164109
53.6273,18.6472,640800280907
50.388,19.846,640900386654
56.5283,17.6902,641000489515
49.4139,20.2372,641100660164
57.7352,17.3205,641200763166
54.2475,18.434,641300916181
57.4197,17.4156,641401026737
58.6908,17.0385,641501143455
50.949,19.6275,641601255664
52.2432,19.1412,641701417115
48.9521,20.4281,641801526429
49.545,20.1837,641901628769
54.2671,18.4274,642001731771
51.6086,19.3766,642101915394
52.4021,19.0832,642202035107
52.9049,18.9018,642302328546
